id,ethnic_appearance
1,African American
2,Asian
3,Caribbean
4,Caucasian
5,Eastern European
6,Indian/South Asian
7,Latin/Hispanic
8,Mediterranean
9,Middle Eastern
10,Mixed
11,Native American
12,Pacific Islander
