id,athletic_skill
1,Aerobics
2,Baseball
3,Basketball
4,Bowling
5,Boxing
6,Cycling
7,Equestrian
8,Fencing
9,Figure Skating
10,Football
11,Golf
12,Gymnastics
13,Ice Hockey
14,Ice Skating
15,Martial Arts
16,Rollerblading
17,Skateboarding
18,Snow Skiing
19,Snowboarding
20,Soccer
21,Softball
22,Surfing
23,Swimming
24,Tennis
25,Track & Field
26,Volleyball
27,Water Skiing
28,Weight Lifting
29,Wrestling
30,Yoga
